name_key,name,base_wrc_vs_r,base_wrc_vs_l
eddys leonard,Eddys Leonard,77.1041332,84.1729076
nehomar ochoa,Nehomar Ochoa,29.9523548,35.916952
carson williams,Carson Williams,69.9073954,82.3448792
lucas ramirez,Lucas Ramirez,8.09698277,-12.232268
darin ruf,Darin Ruf,75.3973697,91.8694721
by choi,B.Y. Choi,31.3494798,11.2014574
lyle millergreen,Lyle Miller-Green,41.4309676,49.1378885
nolan jones,Nolan Jones,101.797513,75.2528366
jakob christian,Jakob Christian,54.6874897,62.0171346
robin ortiz,Robin Ortiz,11.0244637,16.9173384
coby morales,Coby Morales,71.9213651,44.1779133
nick pratto,Nick Pratto,82.3471257,56.0064185
vladi gomez,Vladi Gomez,17.192355,-1.2380248
carlos garces,Carlos Garces,30.3170534,27.7951107
franyer noria,Franyer Noria,14.548225,17.9939518
isaac paredes,Isaac Paredes,122.590819,133.047092
callan moss,Callan Moss,66.4516683,74.3280031
gabriel araujo,Gabriel Araujo,14.5562525,19.3039905
alejandro nunez,Alejandro Nunez,54.9313076,31.4622666
gabriel arias,Gabriel Arias,82.9763928,83.3680238
elier hernandez,Elier Hernandez,72.2488997,82.8442316
tony blanco,Tony Blanco,32.2644288,39.9874193
carlos caripa,Carlos Caripa,10.353426,-9.2788729
brett wisely,Brett Wisely,84.9525063,62.0121463
elijah nunez,Elijah Nunez,55.1140774,30.721589
will verdung,Will Verdung,47.9181193,53.8390067
arnaldo lantigua,Arnaldo Lantigua,42.4084595,49.8248707
matthew ellis,Matthew Ellis,52.3174756,26.0758744
yoiber ruiz,Yoiber Ruiz,17.0909841,22.3166699
jorge lara,Jorge Lara,34.3028657,34.5558971
luis corobo,Luis Corobo,2.94950357,7.99202425
john cruz,John Cruz,36.0695362,12.8277274
adam engel,Adam Engel,49.6044892,60.8600323
miguel andujar,Miguel Andujar,106.376569,114.544359
trevor austin,Trevor Austin,62.8819607,68.7321817
max burt,Max Burt,45.2691697,51.7776062
allen ajoti,Allen Ajoti,0.98955978,5.68721352
nazzan zanetello,Nazzan Zanetello,22.3517338,29.2771482
parker meadows,Parker Meadows,95.1009531,71.2272017
rafael martinez,Rafael Martinez,2.15894754,6.38047789
garrett howe,Garrett Howe,35.9311702,15.4604316
eddie rynders,Eddie Rynders,4.45540037,-14.245965
tyler mcdonough,Tyler McDonough,63.4366983,66.9425561
jonathan mejia,Jonathan Mejia,26.1547716,27.5810609
luis maldonado,Luis Maldonado,0.57422605,5.09125535
jonathan aranda,Jonathan Aranda,121.329403,92.9969802
jonathan india,Jonathan India,102.034543,108.073306
matt halbach,Matt Halbach,40.7252272,46.3060953
geisel cepeda,Geisel Cepeda,77.5235562,83.4228426
ian moller,Ian Moller,55.4025441,63.9543816
chandler pollard,Chandler Pollard,28.5805103,33.2899455
aj ewing,A.J. Ewing,93.113061,65.6246909
diego munoz,Diego Munoz,11.6153677,17.2195446
nathan church,Nathan Church,99.3070959,79.812168
carson kelly,Carson Kelly,96.901249,107.961981
isaac garcia,Isaac Garcia,16.7088982,20.4602701
oliver carrillo,Oliver Carrillo,54.0661863,62.467054
joe vetrano,Joe Vetrano,53.7780294,26.3854682
tyrone taylor,Tyrone Taylor,83.9487828,90.7977523
will wagner,Will Wagner,109.344988,88.0595226
christian martin,Christian Martin,45.4499953,25.7708143
henry bolte,Henry Bolte,80.3119156,89.7528216
will banfield,Will Banfield,47.2973078,57.9998071
alexis hernandez,Alexis Hernandez,53.2723735,59.2251174
pavin smith,Pavin Smith,108.743267,81.0585951
dayan viciedo,Dayan Viciedo,79.2846473,85.1280983
jonaiker sandoval,Jonaiker Sandoval,-3.7049245,
steven herrera,Steven Herrera,1.51817723,7.41866986
yariell almanzar,Yariell Almanzar,-12.647393,-8.3907082
christopher paciolla,Christopher Paciolla,19.4823211,24.6589939
luis frias,Luis Frias,14.3789462,19.4951691
alejandro cruz,Alejandro Cruz,5.94638284,10.5308359
sandy sanchez,Sandy Sanchez,9.36643859,10.5188568
engel paulino,Engel Paulino,0.05224845,6.14829257
willy montero,Willy Montero,38.3400806,43.7330342
richard ramirez,Richard Ramirez,29.9956877,36.6731656
victor marquez,Victor Marquez,0.71681401,6.08107736
reginald preciado,Reginald Preciado,33.5610603,39.5442758
victor labrada,Victor Labrada,90.770179,63.2702714
dj gladney,DJ Gladney,65.2447057,73.9127413
tanner schobel,Tanner Schobel,70.6097378,78.2199214
dave neely,Dave Neely,-6.2039545,-23.418478
gabriel lopez,Gabriel Lopez,-7.1016936,-1.8865671
kevin novoa,Kevin Novoa,8.14990904,12.6700365
kleiver chauran,Kleiver Chauran,19.4201098,19.1661812
starlyn nunez,Starlyn Nunez,39.2959362,42.4185286
ben rortvedt,Ben Rortvedt,78.1503568,59.3854653
tj schofieldsam,T.J. Schofield-Sam,67.1734823,44.5602313
andry javier,Andry Javier,17.2912731,16.5458488
wander franco,Wander Franco,114.41515,124.170579
ryan mcmahon,Ryan McMahon,97.6307595,71.9683873
trevor boone,Trevor Boone,52.3112912,62.2621323
