name|team|osw|zsw|swstr|zone
Yordan Alvarez|HOU|29.3|63.3|7.7|39.1
Nick Allen|HOU|25|70.2|8.9|43.8
Jeremy Peña|HOU|39.2|79.3|13.7|39
Jesús Sánchez|TOR|41.4|74.7|12.7|41.2
Miguel Rojas|LAD|36.3|65.1|8.3|40.8
Carson Kelly|CHC|31.1|69.9|9.2|42
Marcus Semien|NYM|31.1|73.7|9.8|45.3
Angel Martínez|CLE|43.9|67.3|8.4|40.9
Nick Loftin|KCR|22.4|56|3.6|42.3
Josh Bell|MIN|34.5|75.3|12.7|40.6
Josh Smith|TEX|33.3|68|9.5|41.9
Wenceel Pérez|DET|32.5|67.5|7.8|42.2
George Valera|CLE|41.3|75|10|47.1
Wade Meckler|LAA|38.1|75.6|10.3|51.7
Bryce Harper|PHI|37.5|76|14|37.4
Elias Díaz|KCR|36.7|88.2|15.7|41
Daylen Lile|WSN|38.3|77.6|11.9|43
Shea Langeliers|ATH|36.3|74.9|12.5|38.5
Spencer Horwitz|PIT|27.7|59.5|4.8|41.3
Andy Ibáñez|2 Tms|52.5|79.5|11.4|49.4
George Springer|TOR|31.4|76.8|11.8|42.7
Bo Naylor|CLE|32.1|65.2|5.9|39.8
Sebastián Rivero|LAA|47.5|75.6|12.4|39
Nathan Lukes|TOR|41.4|63.8|6.7|43.1
Xavier Edwards|MIA|23.9|61|5.1|40.4
Ronald Acuña Jr.|ATL|28|75.5|11.2|36.3
Chandler Simpson|TBR|31.2|64.4|3.8|43.9
Jorge Polanco|NYM|32.9|70.2|8.9|37.5
Jesus Rodriguez|SFG|40|66.7|9|37.5
Jung Hoo Lee|SFG|32.7|64.2|5.5|42.9
Yainer Diaz|HOU|45.9|77.3|12.4|38.9
Isiah Kiner-Falefa|BOS|38.3|68.8|8.5|38.4
Cedric Mullins|TBR|30.9|69.9|9.1|41.3
Jared Young|NYM|27.1|74.6|10.3|38.5
Alejandro Osuna|TEX|35.9|64.1|5.1|41
Luis Rengifo|MIL|32.2|74.5|8.6|41.7
Mauricio Dubón|ATL|38.8|68.8|8.2|40.3
Vinnie Pasquantino|KCR|34.8|62|6.8|39.5
Sterlin Thompson|COL|33.7|74.5|13.1|37.2
Henry Davis|PIT|33.6|73.2|11.1|45.4
Sung-Mun Song|SDP|22.9|65.5|9.6|44
Cody Bellinger|NYY|26.8|64.3|6.7|42
Carlos Cortes|ATH|26.5|69.2|7.7|39.9
Dominic Smith|ATL|38|75.2|10.1|44.1
William Contreras|MIL|31.8|68.5|8|40.7
Jacob Wilson|ATH|46.2|72.9|8.1|42.3
Zach McKinstry|DET|31.4|69.4|6|49
Jake Mangum|PIT|50.8|71.9|10.3|39.1
Yandy Díaz|TBR|32.5|65.6|5.3|43.8
Jake Meyers|HOU|36.8|79.5|12|41.9
Kyle Tucker|LAD|28.1|76.7|10.3|44
Addison Barger|TOR|35.4|60|8.4|33.6
Liam Hicks|MIA|26.9|63|4|42.1
Jasson Domínguez|NYY|44.4|76.9|10.8|35.1
Hayden Senger|NYM|47.6|78.9|10|47.5
Bryce Eldridge|SFG|33.9|71.3|10.2|36.7
Luis García Jr.|WSN|44.1|71.7|9.3|42.6
Jackson Merrill|SDP|37.5|79.9|13.6|39.2
Jake McCarthy|COL|37.4|74.8|10.8|40.2
Bo Bichette|NYM|41.1|70.1|7.4|39.7
Miguel Vargas|CHW|21.2|74|7.4|42.8
Vladimir Guerrero Jr.|TOR|36.5|68.6|9|38.1
Nick Madrigal|LAA|42.9|69.2|3.7|48.1
Freddie Freeman|LAD|28.9|76.6|9.8|41.8
Max Schuemann|NYY|18.9|70.8|9.8|39.3
César Salazar|HOU|26.8|69.2|5.3|41.1
José Ramírez|CLE|31.2|70.4|6.4|38.8
Victor Mesa Jr.|TBR|31.5|84.8|14.9|37.9
Ernie Clement|TOR|45.9|72.3|7.6|42.4
Kevin McGonigle|DET|22.2|67.9|5.2|42.1
TJ Rumfield|COL|34.8|73.6|9.2|41.3
Luis Arraez|SFG|35.2|67.6|3.6|47.4
Nick Fortes|TBR|40.9|70.2|7.2|41.7
Nick Gonzales|PIT|35.9|78.3|10.7|41.9
Garrett Stubbs|PHI|43.8|66.7|10.7|36
Alejandro Kirk|TOR|48.8|61.3|6.7|41.9
Tyler Freeman|COL|30.4|66.7|4.6|43.7
Chase DeLauter|CLE|22.5|67.7|5.6|43.3
Daulton Varsho|TOR|38|74.5|8.7|38.9
Ryan Vilade|TBR|28.1|74.7|6.5|42.7
Ozzie Albies|ATL|39.6|82.3|10.9|36.4
Josh Naylor|SEA|38.1|78.8|9.7|38.2
Yohel Pozo|STL|56.6|78|7.8|48.5
Tristan Peters|CHW|35.8|77.3|10.8|43.9
Johnathan Rodríguez|BAL|28.6|80|9.1|36.4
Jorbit Vivas|WSN|30.5|81|8|39.7
Alex Call|LAD|18|68|2.4|44.2
Chad Stevens|COL|32.7|74.4|8.5|41.5
Will Brennan|SFG|52.3|78.8|3.8|42.9
Jeff McNeil|ATH|34.9|80|7.4|43.6
Vidal Bruján|NYM|18.8|100|10.7|42.9
Ryan Mountcastle|BAL|48.5|85.7|5.6|38.9
