name_key,name,fld_proj_pg,bsr_proj_pg
jake cronenworth,Jake Cronenworth,-0.045,0.009
james mccann,James McCann,-0.045,-0.004
edgar quero,Edgar Quero,-0.045,-0.007
richie palacios,Richie Palacios,-0.046,-0.005
alec bohm,Alec Bohm,-0.046,-0.007
zach neto,Zach Neto,-0.046,-0.011
mike trout,Mike Trout,-0.047,0.005
francisco alvarez,Francisco Alvarez,-0.047,-0.004
lane thomas,Lane Thomas,-0.047,0.001
mitch garver,Mitch Garver,-0.047,-0.007
brett sullivan,Brett Sullivan,-0.049,-0.003
kyle teel,Kyle Teel,-0.049,0.008
edouard julien,Edouard Julien,-0.05,-0.011
nelson velazquez,Nelson Velazquez,-0.051,-0.004
wenceel perez,Wenceel Perez,-0.052,0.013
endy rodriguez,Endy Rodriguez,-0.052,-0.007
spencer jones,Spencer Jones,-0.053,0.007
ronald acuna,Ronald Acuna,-0.053,0.004
salvador perez,Salvador Perez,-0.053,-0.01
ben rice,Ben Rice,-0.054,-0.004
yainer diaz,Yainer Diaz,-0.054,-0.017
sam antonacci,Sam Antonacci,-0.055,0.005
luke raley,Luke Raley,-0.055,-0.001
jose fermin,Jose Fermin,-0.055,0.009
brooks lee,Brooks Lee,-0.059,-0.004
jake bauers,Jake Bauers,-0.059,0.012
jonathan india,Jonathan India,-0.061,0.004
spencer torkelson,Spencer Torkelson,-0.061,-0.009
dalton rushing,Dalton Rushing,-0.062,0.0
brady house,Brady House,-0.063,-0.008
willy adames,Willy Adames,-0.063,-0.014
rhys hoskins,Rhys Hoskins,-0.063,-0.015
taylor trammell,Taylor Trammell,-0.063,0.009
tristan gray,Tristan Gray,-0.063,0.0
carlos cortes,Carlos Cortes,-0.063,-0.011
oneil cruz,Oneil Cruz,-0.065,0.033
luke keaschall,Luke Keaschall,-0.065,0.015
lawrence butler,Lawrence Butler,-0.065,-0.007
curtis mead,Curtis Mead,-0.065,-0.007
junior caminero,Junior Caminero,-0.065,-0.01
jesus sanchez,Jesus Sanchez,-0.066,-0.009
yordan alvarez,Yordan Alvarez,-0.067,-0.015
nicky lopez,Nicky Lopez,-0.067,0.008
dylan beavers,Dylan Beavers,-0.068,0.001
nick loftin,Nick Loftin,-0.069,0.001
yohendrick pinango,Yohendrick Pinango,-0.069,-0.005
josh smith,Josh Smith,-0.072,-0.007
nathaniel lowe,Nathaniel Lowe,-0.072,-0.009
jose altuve,Jose Altuve,-0.073,-0.012
mark vientos,Mark Vientos,-0.075,-0.01
javier baez,Javier Baez,-0.077,-0.01
jp crawford,J.P. Crawford,-0.079,-0.015
kerry carpenter,Kerry Carpenter,-0.083,-0.008
tyler freeman,Tyler Freeman,-0.083,-0.013
logan ohoppe,Logan O'Hoppe,-0.085,-0.017
cj abrams,CJ Abrams,-0.085,0.012
leo jimenez,Leo Jimenez,-0.085,-0.001
brendan donovan,Brendan Donovan,-0.086,-0.008
owen caissie,Owen Caissie,-0.087,0.003
eugenio suarez,Eugenio Suarez,-0.087,-0.013
alejandro osuna,Alejandro Osuna,-0.092,-0.009
gary sanchez,Gary Sanchez,-0.095,-0.013
nick castellanos,Nick Castellanos,-0.099,0.005
matt wallner,Matt Wallner,-0.099,-0.011
yoan moncada,Yoan Moncada,-0.1,0.0
agustin ramirez,Agustin Ramirez,-0.106,0.007
amed rosario,Amed Rosario,-0.117,-0.001
eloy jimenez,Eloy Jimenez,-0.0176246,-0.0035165
brian navarreto,Brian Navarreto,0.0842516,-0.0010666
steward berroa,Steward Berroa,0.0760075,0.01227908
