Team,Position,PlayerID,Player,,,,Workload
Rays,RP,687330,Kevin Kelly,8,2,Rays 2,FALSE
Rays,RP,664076,Garrett Cleavinger,8,3,Rays 3,FALSE
Rays,RP,668984,Casey Legumina,8,4,Rays 4,FALSE
Rays,RP,592155,Cam Booser,8,5,Rays 5,FALSE
Rays,RP,518886,Craig Kimbrel,8,6,Rays 6,FALSE
Rays,RP,571927,Steven Matz,8,7,Rays 7,FALSE
Rays,RP,688297,Chris Roycroft,8,8,Rays 8,FALSE
Rangers,RP,656641,Jacob Latz,8,1,Rangers 1,FALSE
Rangers,RP,596001,Jakob Junis,8,2,Rangers 2,FALSE
Rangers,RP,682608,Peyton Gray,8,3,Rangers 3,FALSE
Rangers,RP,668390,Cole Winn,8,4,Rangers 4,FALSE
Rangers,RP,641302,Tyler Alexander,8,5,Rangers 5,FALSE
Rangers,RP,695239,Robby Ahlstrom,8,6,Rangers 6,FALSE
Rangers,RP,687239,Ben Peoples,8,7,Rangers 7,FALSE
Rangers,RP,594835,Marco Gonzales,8,8,Rangers 8,FALSE
Blue Jays,RP,686973,Louis Varland,8,1,Blue Jays 1,FALSE
Blue Jays,RP,643511,Tyler Rogers,8,2,Blue Jays 2,FALSE
Blue Jays,RP,656546,Jeff Hoffman,8,3,Blue Jays 3,FALSE
Blue Jays,RP,693686,Spencer Miles,8,4,Blue Jays 4,FALSE
Blue Jays,RP,689254,Mason Fluharty,8,5,Blue Jays 5,FALSE
Blue Jays,RP,671936,Adam Macko,8,6,Blue Jays 6,FALSE
Blue Jays,RP,663893,Brendon Little,8,7,Blue Jays 7,FALSE
Blue Jays,RP,689149,Chad Dallas,8,8,Blue Jays 8,FALSE
Nationals,RP,690925,Clayton Beeter,8,1,Nationals 1,FALSE
Nationals,RP,687377,Orlando Ribalta,8,2,Nationals 2,TRUE
Nationals,RP,676680,Tom Cosgrove,8,3,Nationals 3,FALSE
Nationals,RP,678868,Eddy Yean,8,4,Nationals 4,FALSE
Nationals,RP,683000,Riley Cornelio,8,5,Nationals 5,FALSE
Nationals,RP,668820,Max Kranick,8,6,Nationals 6,FALSE
Nationals,RP,687223,Carson Palmquist,8,7,Nationals 7,FALSE
Nationals,RP,592866,Trevor Williams,8,8,Nationals 8,FALSE
